StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q379,Q380,Q381,Q382,Q383,Consent,C_One_Office,C_One_Know,C_One_Day,C_One_Struc,Q333_First Click,Q333_Last Click,Q333_Page Submit,Q333_Click Count,Micro1_One_Exp_A1_1,Micro1_One_Exp_A2_1,Micro2_One_Exp_A2_1,Micro2_One_Exp_A1_1,Q386_First Click,Q386_Last Click,Q386_Page Submit,Q386_Click Count,Micro1_One_Cause_A1_1,Micro1_One_Cause_A2_1,Micro_One_Cause_A2_1,Micro_One_Cause_A1_1,C_One_Freq,C_Sep_Office,C_Sep_Know,C_Sep_Day,C_Sep_Struc,Q397_First Click,Q397_Last Click,Q397_Page Submit,Q397_Click Count,Micro1_Sep_Exp_A1_1,Micro1_Sep_Exp_A2_1,Micro2_Sep_Exp_A2_1,Micro2_Sep_Exp_A1_1,Q404_First Click,Q404_Last Click,Q404_Page Submit,Q404_Click Count,Micro1_Sep_Cause_A1_1,Micro1_Sep_Cause_A2_1,Micro2_Sep_Cause_A2_1,Micro2_Sep_Cause_A1_1,C_Sep_Freq,C_One_Office,C_One_Know,C_One_Day,C_One_Struc,Q415_First Click,Q415_Last Click,Q415_Page Submit,Q415_Click Count,Coffee1_One_Exp_A1_1,Coffee1_One_Exp_A2_1,Coffee2_One_Exp_A2_1,Coffee2_One_Exp_A1_1,Q418_First Click,Q418_Last Click,Q418_Page Submit,Q418_Click Count,Coffee1_One_Cause_A1_1,Coffee1_One_Cause_A2_1,Coffee2_One_Cause_A2_1,Coffee2_One_Cause_A1_1,C_One_Freq,C_Sep_Office,C_Sep_Know,C_Sep_Day,C_Sep_Struc,Q428_First Click,Q428_Last Click,Q428_Page Submit,Q428_Click Count,Coffee1_Sep_Exp_A1_1,Coffee1_Sep_Exp_A2_1,Coffee2_Sep_Exp_A2_1,Coffee2_Sep_Exp_A1_1,Q433_First Click,Q433_Last Click,Q433_Page Submit,Q433_Click Count,Coffee1_Sep_Cause_A1_1,Coffee1_Sep_Cause_A2_1,Coffee2_Sep_Cause_A2_1,Coffee2_Sep_Cause_A1_1,C_Sep_Freq,Age,Gender,Explanation,Suggestions,Condition,Order
02/11/2019 19:14,02/11/2019 19:22,0,24.167.162.47,100,502,1,02/11/2019 19:22,R_31FyK9gxi2m6v00,,,,,36.03219604,-79.8588028,anonymous,EN,,Benjamin,,,,"4,5,6,7,8,9",1,1,1,2,0,0,43.302,0,1,7,,,0,0,18.703,0,1,7,,,1,2,2,2,2,0,0,38.643,0,1,1,,,0,0,20.009,0,6,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,1,"In the first, they did not know each other or when they used the microwave. In the second, they worked in the same office and knew who used the microwave.",,2,1
02/11/2019 19:14,02/11/2019 19:22,0,108.194.200.239,100,498,1,02/11/2019 19:23,R_277FRDoIARrT1pj,,,,,29.54849243,-90.60870361,anonymous,EN,Emma,,,,,"4,5,6,7,8,9",1,1,1,2,0,0,56.734,0,1,7,,,0,0,14.531,0,7,7,,,1,2,2,2,2,36.908,36.908,38.596,1,1,7,,,0,0,15.642,0,7,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,2,I made my judgement based on the information that I had been given.,,1,1
02/11/2019 19:17,02/11/2019 19:23,0,174.101.136.173,100,357,1,02/11/2019 19:23,R_2aEVaQRILuhWe59,,,,,39.13900757,-84.42960358,anonymous,EN,,,Ava,,,"4,5,6,7,8,9",1,1,1,2,0,0,39.436,0,2,7,,,0,0,9.988,0,7,7,,,1,2,2,2,2,10.48,10.48,31.948,1,1,1,,,0,0,13.153,0,7,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,2,I just went with my gut.,,1,1
02/11/2019 19:16,02/11/2019 19:24,0,50.239.137.78,100,477,1,02/11/2019 19:24,R_2eXczmy54SFh9Cj,,,,,36.40280151,-97.86229706,anonymous,EN,,Benjamin,,,,"4,5,6,7,8,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,81.568,81.568,118.174,1,,,6,5,9.991,10.583,19.97,2,,,7,7,"1,2",1,1,1,1,7.653,11.267,45.923,2,,,5,6,36.62,36.62,48.313,1,,,7,7,"1,2",29,1,No comments,Nothing,4,2
02/11/2019 19:15,02/11/2019 19:24,0,204.210.117.92,100,553,1,02/11/2019 19:24,R_YWWdtAJmYA0N8hH,,,,,21.29820251,-157.8444061,anonymous,EN,,,,Noah,,"4,5,6,7,8,9",1,1,1,2,8.806,8.806,50.908,1,,,6,2,0,0,16.268,0,,,3,5,1,2,2,2,2,0,0,40.274,0,,,4,4,0,0,21.961,0,,,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,1,"In the second scenario, neither employee knew of the other's microwave habits, so both were equally at fault.  In the first scenario, the person using the microwave the most throughout the week should let the other person use the microwave on friday. ",A little more time to complete the survey as what was listed,1,2
02/11/2019 19:14,02/11/2019 19:26,0,50.49.140.179,100,719,1,02/11/2019 19:26,R_25HgtjFYvdtFm3d,,,,,43.09080505,-77.43479919,anonymous,EN,,Benjamin,,,,"4,5,6,7,8,9",1,1,1,2,0,0,50.321,0,,,7,1,0,0,13.188,0,,,5,5,1,2,2,2,2,0,0,39.082,0,,,1,1,0,0,20.344,0,,,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,1,"Regardless of the expectations of either individual of the other, the concurrent use of the microwaves caused the power failure (even if not intentional).",Quite interesting exercise and visually appealing graphics. Everything worked well.,2,2
02/11/2019 19:19,02/11/2019 19:26,0,76.107.22.101,100,406,1,02/11/2019 19:26,R_sulfwMMndP1yiUF,,,,,35.15719604,-89.92680359,anonymous,EN,,,,,James,"4,5,6,7,8,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,11.708,11.708,49.724,1,2,7,,,0,0,18.387,0,2,5,,,1,1,2,2,2,0,0,34.463,0,2,2,,,0,0,16.689,0,2,2,,,1,68,1,"If they knew each other, they should realize that one of them always makes coffee. If they did not know the other's habits, then they would not know that. ",thanks,3,1
02/11/2019 19:14,02/11/2019 19:27,0,76.192.59.220,100,804,1,02/11/2019 19:27,R_3JrRq56c0d8JULm,,,,,42.46220398,-83.3993988,anonymous,EN,,,,,James,"4,5,6,7,8,9",1,1,1,2,0,0,46.553,0,,,7,2,0,0,13.831,0,,,7,2,1,2,2,2,2,29.941,33.976,83.367,2,,,6,2,0,0,31.451,0,,,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,2,Based on who uses the microwave frequently and the fact that they know each other and their behavior or not,,2,2
02/11/2019 19:18,02/11/2019 19:28,0,50.239.137.75,100,612,1,02/11/2019 19:28,R_3nj8kUJgq0Nw4wB,,,,,36.40280151,-97.86229706,anonymous,EN,Emma,,,,,"4,5,6,7,8,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,65.035,0,5,4,,,0,0,21.291,0,5,4,,,1,2,2,2,1,6.481,6.481,46.358,1,4,4,,,0,0,29.649,0,4,4,,,1,29,1,Based on the one who frequently uses the coffee machine.,"No issues.

Good",4,1
02/11/2019 19:20,02/11/2019 19:29,0,172.58.173.118,100,541,1,02/11/2019 19:29,R_2WPBtXAw2CvqfOj,,,,,28.05079651,-82.4484024,anonymous,EN,,,,Noah,,"4,5,6,7,8,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,5.83,56.907,57.322,9,6,2,,,6.633,16.858,17.481,8,6,6,,,1,2,1,1,2,4.702,35.629,36.361,14,6,2,,,7.85,15.695,16.592,4,7,2,,,1,34,1,Each person needed to understand the usage of power for their coffee machines.,Thanks,3,1
02/11/2019 19:16,02/11/2019 19:29,0,47.16.153.114,100,781,1,02/11/2019 19:29,R_cAX2ZmitVOL28EN,,,,,40.85650635,-74.12310028,anonymous,EN,,Benjamin,,,,"4,5,6,7,8,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,9.115,9.115,52.024,1,,,7,1,0,0,17.315,0,,,4,4,1,2,2,2,2,0,0,32.522,0,,,1,1,0,0,16.399,0,,,4,4,1,36,2,"In the two separate cases, Dan and James frequently made coffee in their respective offices.  However, Dan and Bob and James and Henry, were both at fault on Friday's. They both used more than one coffee maker when they knew the company was implementing Green Friday's.",,3,2
02/11/2019 19:23,02/11/2019 19:30,0,73.214.83.191,100,423,1,02/11/2019 19:30,R_33rtQcbGLptzOLI,,,,,39.6519928,-79.94439697,anonymous,EN,,,,Noah,,"4,5,6,7,8,9",1,1,1,2,0,0,89.953,0,4,4,,,0,0,14.176,0,7,7,,,2,2,2,2,2,26.883,26.883,35.886,1,1,4,,,0,0,71.683,0,7,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,1,It is hard to blame either participant if they did not communicate with each other. ,,1,1
02/11/2019 19:15,02/11/2019 19:30,0,97.76.210.20,100,931,1,02/11/2019 19:30,R_2TFxGKAfmGafyzU,,,,,28.62249756,-81.43170166,anonymous,EN,,,Ava,,,"4,5,6,7,8,9",1,1,1,1,9.7,9.7,44.83,1,1,7,,,0,0,14.376,0,7,7,,,1,2,2,2,1,0,0,34.718,0,1,4,,,0,0,17.841,0,7,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,1,It did not matter who used microwave more frequently before Friday because on Green Friday they are all responsible.,I had no problems with the survey.,1,1
02/11/2019 19:21,02/11/2019 19:31,0,71.185.50.12,100,619,1,02/11/2019 19:31,R_1HjVkygPiFQ5zft,,,,,39.98100281,-75.16989899,anonymous,EN,,,,,James,"4,5,6,7,8,9",1,1,1,2,0,0,38.215,0,2,7,,,18.492,18.492,19.457,1,1,1,,,1,2,2,2,2,0,0,34.158,0,4,4,,,0,0,14.463,0,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,1,Neither of these people are at fault for the power outages. This ridiculous company thinks its greener to shut off electricity for the whole building when two appliances on separate floors are being used instead of buying less microwaves and having a common area. ,,1,1
02/11/2019 19:20,02/11/2019 19:32,0,64.20.132.160,100,682,1,02/11/2019 19:32,R_1QKsntTjh6UCh4H,,,,,32.33009338,-80.84349823,anonymous,EN,,,,Noah,,"4,5,6,7,8,9",1,1,1,2,11.149,11.149,50.967,1,1,7,,,0,0,14.52,0,7,7,,,1,2,2,2,2,9.399,9.399,43.701,1,6,3,,,0,0,21.99,0,7,7,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,2,I made my judgments based on who used the microwave the most and also whether they shared an office the majority of the week (to know whether or not they knew each other's habits. ,Interesting. Thank you for the opportunity.,1,1
02/11/2019 19:19,02/11/2019 19:32,0,71.11.49.14,100,797,1,02/11/2019 19:32,R_2EzBNOUbHqr379n,,,,,34.52510071,-82.63069916,anonymous,EN,Emma,,,,,"4,5,6,7,8,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,21.643,21.643,48.112,1,2,7,,,8.626,8.626,20.86,1,2,6,,,1,2,2,2,2,13.858,13.858,37.669,1,2,4,,,0,0,16.237,0,6,6,,,1,29,1,I watched the video and paid attention to the patterns of the two workers. If someone frequently made coffee during the week and then the other person also made coffee on a friday while knowing full well that the other person was going to make coffee then it was their fault.,,4,1
02/11/2019 19:29,02/11/2019 19:34,0,137.25.84.115,100,323,1,02/11/2019 19:34,R_vvLQuyMrSt5tn9f,,,,,33.96870422,-118.0370026,anonymous,EN,,,,Noah,,"4,5,6,7,8,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,51.233,52.194,52.401,2,1,7,,,3.6,3.6,15.04,1,7,7,,,1,2,2,2,2,0,0,36.601,0,1,1,,,0,0,19.523,0,7,7,,,1,32,2,They both should've refrained from making coffee on friday. ,,4,1
