StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Q309,Q310,Q311,Q312,Q313,M_Both_Office,M_Both_Know,M_Both_Day,M_Both_Struc,Q48_First Click,Q48_Last Click,Q48_Page Submit,Q48_Click Count,M_Both_A1_1_1,M_Both_A2_1_1,M_Both_A2_2_1,M_Both_A1_2_1,M_Both_Freq,M_One_Office,M_One_Know,M_One_Day,M_One_Struc,Q50_First Click,Q50_Last Click,Q50_Page Submit,Q50_Click Count,M_One_A1_1_1,M_One_A2_1_1,M_One_A2_2_1,M_One_A1_2_1,M_One_Freq,M_Both_Ep_A1_1_1,M_Both_Ep_A2_1_1,M_One_Ep_A1_1_1,M_One_Ep_A2_1_1,M_One_Ep_A1_2_1,M_One_Ep_A2_2_1,M_Both_Ep_A1_2_1,M_Both_Ep_A2_2_1,K_Both_Office,K_Both_Know,K_Both_Day,K_Both_Struc,Q49_First Click,Q49_Last Click,Q49_Page Submit,Q49_Click Count,K_Both_A1_1_1,K_Both_A2_1_1,K_Both_A2_2_1,K_Both_A1_2_1,K_Both_Freq,K_One_Office,K_One_Know,K_One_Day,K_One_Struc,Q51_First Click,Q51_Last Click,Q51_Page Submit,Q51_Click Count,K_One_A1_1_1,K_One_A2_1_1,K_One_A2_2_1,K_One_A1_2_1,K_One_Freq,K_Both_Ep_A1_1_1,K_Both_Ep_A2_1_1,K_One_Ep_A1_1_1,K_One_Ep_A2_1_1,K_One_Ep_A1_2_1,K_One_Ep_A2_2_1,K_Both_Ep_A1_2_1,K_Both_Ep_A2_2_1,Age,Gender,Suggestions,Condition,QuestionOrder
2019-12-27 16:48:04,2019-12-27 16:48:26,0,122.164.48.146,100,22,1,2019-12-27 16:48:27,R_1ePsjNiM9zrwHE0,,,,,9.9669952392578125,76.29168701171875,anonymous,EN,"4,5,6,7,8,9",emma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-27 16:42:15,2019-12-27 16:48:34,0,24.242.39.68,100,378,1,2019-12-27 16:48:34,R_1dlRf8wnccGSkQk,,,,,31.5171051025390625,-97.1197967529296875,anonymous,EN,"4,5,6,7,8,9",,,Ava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,0,0,44.354,0,,,6,5,"1,2",2,2,2,2,0,0,67.073,0,,,5,5,1,4,4,4,4,,,,,38,1,Have a nice day!,3,2
2019-12-27 16:46:05,2019-12-27 16:52:52,0,68.118.62.224,100,407,1,2019-12-27 16:52:52,R_3RrdYpjLfI5XuDS,,,,,43.2270050048828125,-123.51580047607421875,anonymous,EN,"4,5,6,7,8,9",,,,Noah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,0,0,69.515,0,,,4,4,"1,2",2,2,2,2,0,0,52.727,0,,,4,4,1,1,1,1,1,,,,,46,2,,3,2
2019-12-27 16:47:14,2019-12-27 16:53:11,0,71.206.17.211,100,357,1,2019-12-27 16:53:11,R_2rwESTzddNRZs4W,,,,,39.042694091796875,-76.434600830078125,anonymous,EN,"4,5,6,7,8,9",,,Ava,,,2,2,2,2,0,0,45.581,0,4,4,,,"1,2",2,2,2,2,0,0,46.103,0,6,4,,,1,2,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,1,,1,1
2019-12-27 16:48:33,2019-12-27 16:54:08,0,122.164.48.146,100,335,1,2019-12-27 16:54:09,R_2zZpcEpRCRQfQCI,,,,,9.9669952392578125,76.29168701171875,anonymous,EN,"4,5,6,7,8,9",,,,,himself,1,2,2,2,0,0,48.592,0,,,3,6,"1,2",1,2,2,2,0,0,48.28,0,,,3,5,1,,,,,2,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,1,nice survey,2,2
2019-12-27 16:53:49,2019-12-27 16:54:13,0,99.102.109.26,100,24,1,2019-12-27 16:54:14,R_3r26N7zmqFCq78O,,,,,41.7996063232421875,-88.00659942626953125,anonymous,EN,"4,5,6,7,8,9",emma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-27 16:41:08,2019-12-27 16:54:40,0,106.198.101.186,100,812,1,2019-12-27 16:54:41,R_2RVokMwRZPmZaeK,,,,,11.6537933349609375,78.1553955078125,anonymous,EN,"4,5,6,7,8,9",," Benjamin",,,,1,2,2,1,51.45,51.45,52.238,1,,,7,7,"1,2",1,2,2,2,19.85,182.539,183.302,2,,,2,7,1,,,,,7,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,1,no comments,2,2
2019-12-27 16:50:03,2019-12-27 16:55:20,0,159.53.110.229,100,317,1,2019-12-27 16:55:21,R_3rTAsRuEcNtKu57,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,"4,5,6,7,8,9",,Benjamin,,,,2,2,2,2,0,0,46.056,0,,,7,7,"1,2",2,2,2,1,0,0,49.04,0,,,6,1,1,,,,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,1,"There is an MC before the first video asking how many microwaves it takes for a power failure on Friday. I answered 1 thinking it was 1 microwave was what needs to be currently running and then a second one to trip the power failure. I interpretted it as this, when in fact it was two  that is needed to trigger. However it could be read that it would take one additional microwave to trigger if one had been running already. ",2,2
2019-12-27 16:43:15,2019-12-27 16:56:34,0,157.46.93.143,100,799,1,2019-12-27 16:56:35,R_R4BgVIslgKqDmN3,,,,,13.08599853515625,80.27508544921875,anonymous,EN,"4,5,6,7,8,9",,Benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,0,0,56.23,0,,,5,4,"1,2",1,1,2,1,18.001,18.001,110.702,1,,,5,4,"1,2",,,,,5,6,5,5,29,1,,4,2
2019-12-27 16:54:18,2019-12-27 16:58:04,0,99.102.109.26,100,225,1,2019-12-27 16:58:04,R_1feIKB9c4uZgVPu,,,,,41.7996063232421875,-88.00659942626953125,anonymous,EN,"4,5,6,7,8,9",Emma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,0,0,52.464,0,,,7,7,1,2,1,1,1,0,0,51.927,0,,,1,7,1,4,7,5,4,,,,,30,2,,3,2
2019-12-27 16:53:29,2019-12-27 16:59:36,0,207.44.32.7,100,366,1,2019-12-27 16:59:37,R_2w4amp2jATewxEU,,,,,40.7888031005859375,-76.5623016357421875,anonymous,EN,"4,5,6,7,8,9",,,,,James,2,2,2,2,43.803,43.803,44.591,1,4,4,,,"1,2",2,2,2,2,50.693,50.693,51.606,1,4,5,,,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,2,Thank you,1,1
2019-12-27 16:53:06,2019-12-27 17:02:47,0,207.160.232.251,100,581,1,2019-12-27 17:02:47,R_22LARFJP6t4iY3q,,,,,37.2566986083984375,-93.294403076171875,anonymous,EN,"4,5,6,7,8,9",Emma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,0,0,55.778,0,7,7,,,"1,2",2,2,2,2,0,0,58.849,0,3,5,,,1,,,,,1,1,1,1,59,1,,4,1
2019-12-27 16:58:28,2019-12-27 17:02:54,0,71.201.29.97,100,266,1,2019-12-27 17:02:55,R_27kZqhvLF9802yB,,,,,41.4705963134765625,-87.07830047607421875,anonymous,EN,"4,5,6,7,8,9",,,Ava,,,2,2,2,2,0,0,43.7,0,7,7,,,"1,2",2,2,2,2,44.599,44.599,45.132,1,7,1,,,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1,,2,1
2019-12-27 16:42:49,2019-12-27 17:03:26,0,157.51.116.81,100,1236,1,2019-12-27 17:03:26,R_Acfhx8bnHwemMG5,,,,,13.08599853515625,80.27508544921875,anonymous,EN,"4,5,6,7,8,9",,Benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,0,0,76.8,0,7,7,,,"1,2",1,1,2,2,0,0,107.443,0,7,7,,,"1,2",,,,,7,7,7,7,28,1,,4,1
2019-12-27 17:01:16,2019-12-27 17:03:28,0,122.174.248.187,100,132,1,2019-12-27 17:03:28,R_3oL58M04Utma2kx,,,,,13.08599853515625,80.27508544921875,anonymous,EN,"4,5,6,7,8,9",,benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-27 17:01:19,2019-12-27 17:05:45,0,122.174.248.187,100,266,1,2019-12-27 17:05:46,R_12fEQqIFxRDplGg,,,,,13.08599853515625,80.27508544921875,anonymous,EN,"4,5,6,7,8,9",,,,beautiful day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-27 16:59:09,2019-12-27 17:05:46,0,216.227.108.149,100,397,1,2019-12-27 17:05:47,R_2tu0CmC3N0zIBBk,,,,,46.9210052490234375,-122.5937957763671875,anonymous,EN,"4,5,6,7,8,9",,Benjamin,,,,2,2,2,2,0,0,52.616,0,,,7,7,"1,2",2,2,2,1,0,0,45.251,0,,,7,7,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,2,I was a little confused about the question about using a microwave. I put one on the first question and two on the second when I realized my mistake(?). Hope that doesn't count against me.,2,2
2019-12-27 16:58:29,2019-12-27 17:05:49,0,182.70.188.201,100,440,1,2019-12-27 17:05:49,R_2rg6R9PTbgY5JZf,,,,,22.7162933349609375,75.83160400390625,anonymous,EN,"4,5,6,7,8,9",,,,,James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,8.304,48.533,79.404,2,,,1,1,"1,2",1,2,2,2,71.27,71.27,72.351,1,,,7,1,2,1,1,1,1,,,,,36,1,,3,2
2019-12-27 16:38:21,2019-12-27 17:06:05,0,184.98.81.110,100,1664,1,2019-12-27 17:06:06,R_2bNsMBeS5W1fCa6,,,,,33.592193603515625,-112.002899169921875,anonymous,EN,"4,5,6,7,8,9",,,,,James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,0,0,1100.692,0,4,4,,,"1,2",2,2,2,2,0,0,133.24,0,4,4,,,1,1,1,1,1,,,,,36,1,n,3,1
2019-12-27 17:00:00,2019-12-27 17:06:12,0,41.230.87.161,100,372,1,2019-12-27 17:06:13,R_Uit0EAgpYdceQKZ,,,,,36.8292999267578125,9.83929443359375,anonymous,EN,"4,5,6,7,8,9",,Benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,0,0,55.222,0,4,4,,,"1,2",2,2,2,2,0,0,47.827,0,3,6,,,1,,,,,3,3,3,3,43,1,thx,4,1
2019-12-27 17:06:00,2019-12-27 17:07:25,0,122.174.248.187,100,85,1,2019-12-27 17:07:26,R_2R7VoHlTMCt1Iri,,,,,13.08599853515625,80.27508544921875,anonymous,EN,"4,5,6,7,8,9",emma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-27 17:06:03,2019-12-27 17:08:06,0,122.174.248.187,100,122,1,2019-12-27 17:08:06,R_bqHBbMOQGH3MjWV,,,,,13.08599853515625,80.27508544921875,anonymous,EN,"4,5,6,7,8,9",,,the day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-27 17:04:10,2019-12-27 17:10:31,0,157.51.245.200,100,381,1,2019-12-27 17:10:31,R_3DiR0NyzdeHwGKu,,,,,13.08599853515625,80.27508544921875,anonymous,EN,"4,5,6,7,8,9",Emma,,,,,1,2,2,1,0,0,47.372,0,7,7,,,"1,2",1,2,2,2,0,0,48.095,0,7,7,,,"1,2",7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,1,,1,1
2019-12-27 16:48:53,2019-12-27 17:11:56,0,73.236.39.243,100,1382,1,2019-12-27 17:11:56,R_3PMKPx0KcEtUqTq,,,,,40.104095458984375,-80.6425018310546875,anonymous,EN,"4,5,6,7,8,9",,,,Noah,,1,1,1,1,19.182,48.47,49.409,5,5,5,,,"1,2",2,2,2,2,0,0,42.777,0,6,5,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,1,,1,1
2019-12-27 17:01:27,2019-12-27 17:13:31,0,122.164.90.21,100,724,1,2019-12-27 17:13:32,R_3fDZkjpRy7PvQiu,,,,,13.08599853515625,80.27508544921875,anonymous,EN,"4,5,6,7,8,9",,Benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,0,0,52.784,0,,,4,2,1,1,2,2,2,0,0,93.387,0,,,7,7,1,7,7,7,7,,,,,27,1,thankyou,3,2
2019-12-27 17:08:18,2019-12-27 17:15:54,0,122.174.248.187,100,455,1,2019-12-27 17:15:55,R_3P5A2MmthJEzFbv,,,,,13.08599853515625,80.27508544921875,anonymous,EN,"4,5,6,7,8,9",,,,,evelyn,1,1,2,1,0,0,50.431,0,,,6,5,1,1,1,1,2,0,0,121.194,0,,,4,6,2,,,,,6,4,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,1,good,2,2
2019-12-27 17:12:39,2019-12-27 17:18:29,0,49.207.132.172,100,349,1,2019-12-27 17:18:29,R_vwpiWcbrLVmXF4t,,,,,13.08599853515625,80.27508544921875,anonymous,EN,"4,5,6,7,8,9",Emma,,,,,1,2,2,1,0,0,54.137,0,6,7,,,1,1,2,2,1,67.04,67.04,67.727,1,7,6,,,"1,2",7,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,2,No any issues.The survey was very good and have a clear instruction.,1,1
2019-12-27 16:53:50,2019-12-27 17:19:45,0,107.139.92.71,100,1555,1,2019-12-27 17:19:45,R_1royF7VA1SN5goX,,,,,36.3170013427734375,-94.15679931640625,anonymous,EN,"4,5,6,7,8,9",,,Ava,,,1,2,2,2,0,0,47.232,0,,,3,5,"1,2",1,2,2,2,0,0,188.641,0,,,5,4,1,5,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,1,,1,2
2019-12-27 17:14:22,2019-12-27 17:19:50,0,45.17.3.207,100,328,1,2019-12-27 17:19:51,R_1GOeMYuxoltzhva,,,,,33.4539947509765625,-84.1533966064453125,anonymous,EN,"4,5,6,7,8,9",,,,,James,2,2,2,2,0,0,44.1,0,,,7,7,"1,2",2,2,2,2,0,0,45.124,0,,,3,6,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,2,,2,2
